run_name,dataset,model,think_mode,task_id,benchmark,group,language,status,score,latency_sec,first_thinking_sec,first_response_sec,think_to_response_gap_sec,thinking_tail_sec,prompt_chars,thinking_chars,response_chars,parsed_response,error
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_cf-0,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,30.1639,5.2514,29.9008,24.6494,24.9125,174,1372,1,B,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_cf-0,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,34.0188,5.199,33.6114,28.4124,28.8198,174,1299,1,B,
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_cf-1,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,30.099,4.1936,30.0182,25.8246,25.9054,161,1016,1,A,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_cf-1,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,39.0456,2.866,38.7508,35.8848,36.1796,161,1234,1,A,
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_cf-2,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,32.0405,3.6305,31.5779,27.9474,28.41,240,1611,1,D,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_cf-2,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,39.5826,3.0699,39.4566,36.3867,36.5127,240,1626,1,D,
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_cf-3,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,39.6256,11.8328,39.3577,27.5249,27.7928,169,909,1,B,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_cf-3,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,39.2586,3.254,38.9389,35.6849,36.0046,169,1069,1,B,
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_pro-70,mmlu_pro,reasoning_knowledge,en,ok,1.0,84.1655,32.0543,83.9496,51.8953,52.1112,623,2554,1,I,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_pro-70,mmlu_pro,reasoning_knowledge,en,ok,1.0,127.657,30.7845,127.2817,96.4972,96.8725,623,3677,1,I,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_pro-71,mmlu_pro,reasoning_knowledge,en,ok,1.0,273.2825,5.3616,272.9033,267.5417,267.9209,673,8106,1,F,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_pro-72,mmlu_pro,reasoning_knowledge,en,ok,1.0,280.9873,4.3433,280.7844,276.4411,276.644,799,10602,1,J,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_pro-73,mmlu_pro,reasoning_knowledge,en,ok,0.0,78.5727,3.2282,78.2313,75.0031,75.3445,364,3023,1,H,
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_prox_lite_en-70,mmlu_prox_lite_en,multilingual_reasoning,en,ok,1.0,70.4659,6.4492,70.1748,63.7256,64.0167,623,2461,1,I,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_prox_lite_en-70,mmlu_prox_lite_en,multilingual_reasoning,en,ok,1.0,72.4896,4.9191,72.2122,67.2931,67.5705,623,2312,1,I,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_prox_lite_en-71,mmlu_prox_lite_en,multilingual_reasoning,en,long_think,,900.6601,34.858,,,865.8021,922,14001,0,,long_think
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_prox_lite_zh-70,mmlu_prox_lite_zh,multilingual_reasoning,zh,ok,1.0,158.1832,4.0267,158.0578,154.0311,154.1565,278,5620,1,I,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_prox_lite_zh-70,mmlu_prox_lite_zh,multilingual_reasoning,zh,ok,1.0,187.2124,11.5657,187.0731,175.5074,175.6467,278,4881,1,I,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_prox_lite_zh-71,mmlu_prox_lite_zh,multilingual_reasoning,zh,long_think,,900.179,6.5364,,,893.6426,433,14010,0,,long_think
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,livebench_reasoning-bd14ba82d1fe813d,livebench_reasoning,dynamic_reasoning,en,ok,1.0,130.7646,3.0543,81.8463,78.792,127.7103,1210,3629,2245,"1, filmmaking, police-officer, journalist",
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_cf-0,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,29.2718,0.8308,29.206,28.3752,28.441,174,2088,1,B,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_cf-1,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,24.1596,1.0634,24.0944,23.031,23.0962,161,1169,1,A,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_cf-2,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,31.4709,1.3267,31.4039,30.0772,30.1442,240,2137,1,D,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_cf-3,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,19.74,0.9497,19.6734,18.7237,18.7903,169,1090,1,B,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_pro-70,mmlu_pro,reasoning_knowledge,en,ok,1.0,40.6916,7.5676,40.6264,33.0588,33.124,623,2553,1,I,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_pro-71,mmlu_pro,reasoning_knowledge,en,ok,1.0,48.554,1.888,48.4866,46.5986,46.666,673,3364,1,F,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_pro-72,mmlu_pro,reasoning_knowledge,en,ok,0.0,94.9106,2.2404,94.8382,92.5978,92.6702,799,5726,1,A,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_pro-73,mmlu_pro,reasoning_knowledge,en,ok,0.0,32.651,1.5772,32.5902,31.013,31.0738,364,2270,1,H,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_prox_lite_en-70,mmlu_prox_lite_en,multilingual_reasoning,en,ok,1.0,30.3892,2.015,30.3192,28.3042,28.3742,623,1883,1,I,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_prox_lite_en-71,mmlu_prox_lite_en,multilingual_reasoning,en,ok,0.0,127.6571,3.6383,127.5541,123.9158,124.0188,922,4250,1,H,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_prox_lite_sw-70,mmlu_prox_lite_sw,multilingual_reasoning,sw,ok,1.0,62.8025,2.8004,62.7322,59.9318,60.0021,701,3515,1,I,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_prox_lite_sw-71,mmlu_prox_lite_sw,multilingual_reasoning,sw,ok,1.0,91.6304,3.9782,91.562,87.5838,87.6522,906,2908,1,J,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_prox_lite_zh-70,mmlu_prox_lite_zh,multilingual_reasoning,zh,ok,1.0,51.264,2.4681,51.1938,48.7257,48.7959,278,2769,1,I,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,mmlu_prox_lite_zh-71,mmlu_prox_lite_zh,multilingual_reasoning,zh,ok,1.0,96.5464,3.3869,96.469,93.0821,93.1595,433,2901,1,J,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,simpleqa-0,simpleqa,factuality,en,ok,0.0,26.6977,1.1959,26.1141,24.9182,25.5018,136,1702,35,John S. Fox and Michael J. Williams,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,simpleqa-1,simpleqa,factuality,en,ok,0.0,14.2947,0.6064,14.0366,13.4302,13.6883,147,806,16,Michael E. Smith,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,simpleqa-2,simpleqa,factuality,en,ok,0.0,0.5732,,0.4265,,,163,0,13,Smith College,
frontier_pilot_e4b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_pilot_e4b.jsonl,gemma4:e4b,think_true,simpleqa-3,simpleqa,factuality,en,ok,1.0,18.5388,0.6723,18.2804,17.6081,17.8665,140,1126,15,Adolf Anderssen,
